Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
2018-03-25,Binance Coin,BNB,12.78,1265701910.15,99014000
2018-04-01,Binance Coin,BNB,11.07,1286571421.31,116261604
2018-04-08,Binance Coin,BNB,12.12,1408814326.24,116261604
2018-04-15,Binance Coin,BNB,13.06,1489239542.33,114041290
2018-04-22,Binance Coin,BNB,12.88,1468380145.13,114041290
2018-05-20,Binance Coin,BNB,14.12,1610011880.5,114041290
2018-05-27,Binance Coin,BNB,12.61,1437578721.32,114041290
2018-06-03,Binance Coin,BNB,14.57,1661131085.42,114041290
2018-06-10,Binance Coin,BNB,14.18,1617584608.64,114041290
2018-06-17,Binance Coin,BNB,16.58,1890669938.6,114041290
2018-06-24,Binance Coin,BNB,14.45,1647627987.45,114041290
2018-07-01,Binance Coin,BNB,14.4,1642662194.55,114041290
2018-07-08,Binance Coin,BNB,13.99,1595654377.72,114041290
2018-07-15,Binance Coin,BNB,12.29,1401464783.31,114041290
2018-07-22,Binance Coin,BNB,12.12,1157602204.93,95512523
2018-07-29,Binance Coin,BNB,14.02,1339200206.22,95512523
2018-08-05,Binance Coin,BNB,13.62,1301186608.96,95512523
2018-08-12,Binance Coin,BNB,11.74,1121485876.3,95512523
2018-08-19,Binance Coin,BNB,10.16,970047241.07,95512523
2018-08-26,Binance Coin,BNB,10.19,972854203.96,95512523
2018-09-02,Binance Coin,BNB,11.3,1079236239.04,95512523
2018-09-09,Binance Coin,BNB,9.51,908575519.07,95512523
2018-09-16,Binance Coin,BNB,9.94,949014238.98,95512523
2018-09-23,Binance Coin,BNB,10.28,1155980801.42,112443301
2018-09-30,Binance Coin,BNB,10.02,1176518947.54,117443301
2018-10-07,Binance Coin,BNB,10.52,1235385641.48,117443301
2018-10-14,Binance Coin,BNB,9.5,1115328982.42,117443301
2018-10-21,Binance Coin,BNB,9.74,1274417147.86,130799315
2018-10-28,Binance Coin,BNB,9.67,1264409760.85,130799315
2018-11-04,Binance Coin,BNB,9.63,1259276036.54,130799315
2018-11-11,Binance Coin,BNB,9.47,1238145868.75,130799315
2018-11-18,Binance Coin,BNB,8.0,1046363101.06,130799315
2018-11-25,Binance Coin,BNB,5.18,677616541.52,130799315
2018-12-02,Binance Coin,BNB,5.25,686750929.99,130799315
2018-12-09,Binance Coin,BNB,4.86,635567538.85,130799315
2018-12-16,Binance Coin,BNB,4.65,607596553.58,130799315
2018-12-23,Binance Coin,BNB,6.06,792514008.11,130799308
2018-12-30,Binance Coin,BNB,6.0,784234811.6,130799308
2019-01-06,Binance Coin,BNB,6.4,836589632.29,130799308
2019-01-13,Binance Coin,BNB,5.57,728389539.4,130799308
2019-01-20,Binance Coin,BNB,6.49,838848751.24,129175490
2019-01-27,Binance Coin,BNB,7.09,915621568.58,129175490
2019-02-03,Binance Coin,BNB,6.74,870405723.23,129175490
2019-02-10,Binance Coin,BNB,9.21,1300443647.11,141175490
2019-02-17,Binance Coin,BNB,9.22,1301079823.0,141175490
2019-02-24,Binance Coin,BNB,10.11,1427720907.03,141175490
2019-03-03,Binance Coin,BNB,11.54,1628869046.88,141175490
2019-03-10,Binance Coin,BNB,14.49,2046259504.26,141175490
2019-03-17,Binance Coin,BNB,15.76,2225087468.76,141175490
2019-03-24,Binance Coin,BNB,17.29,2440268717.14,141175490
2019-03-31,Binance Coin,BNB,17.4,2456689309.02,141175490
2019-04-07,Binance Coin,BNB,19.11,2697901876.07,141175490
2019-04-14,Binance Coin,BNB,19.49,2751795496.84,141175490
2019-04-21,Binance Coin,BNB,24.19,3415575669.07,141175490
2019-04-28,Binance Coin,BNB,22.9,3232825507.84,141175490
2019-05-05,Binance Coin,BNB,23.02,3249853031.21,141175490
2019-05-12,Binance Coin,BNB,20.83,2940727441.47,141175490
2019-05-19,Binance Coin,BNB,29.41,4152372616.38,141175490
2019-05-26,Binance Coin,BNB,34.1,4814769247.91,141175490
2019-06-02,Binance Coin,BNB,33.17,4683362944.16,141175490
2019-06-09,Binance Coin,BNB,30.56,4314081086.68,141175490
2019-06-16,Binance Coin,BNB,32.4,4574470639.88,141175490
2019-06-23,Binance Coin,BNB,37.13,5242513178.55,141175490
2019-06-30,Binance Coin,BNB,32.44,4580083462.04,141175490
2019-07-07,Binance Coin,BNB,33.24,4692823027.78,141175490
2019-07-14,Binance Coin,BNB,28.92,4083399701.45,141175490
2019-07-21,Binance Coin,BNB,30.52,4746909287.27,155536713
2019-07-28,Binance Coin,BNB,27.84,4329390810.27,155536713
2019-08-04,Binance Coin,BNB,27.56,4285994666.62,155536713
2019-08-11,Binance Coin,BNB,30.06,4675006646.4,155536713
2019-08-18,Binance Coin,BNB,27.93,4344520680.48,155536713
2019-08-25,Binance Coin,BNB,26.13,4064461676.71,155536713
2019-09-01,Binance Coin,BNB,21.57,3354720068.0,155536713
2019-09-08,Binance Coin,BNB,22.56,3509171072.71,155536713
2019-09-15,Binance Coin,BNB,20.6,3203891493.01,155536713
2019-09-22,Binance Coin,BNB,20.53,3192478009.93,155536713
2019-09-29,Binance Coin,BNB,15.31,2380504959.59,155536713
2019-10-06,Binance Coin,BNB,15.35,2387329910.37,155536713
2019-10-13,Binance Coin,BNB,18.31,2847569963.89,155536713
2019-10-20,Binance Coin,BNB,18.44,2867774149.14,155536713
2019-10-27,Binance Coin,BNB,19.35,3008958175.1,155536713
2019-11-03,Binance Coin,BNB,20.21,3142781985.62,155536713
2019-11-10,Binance Coin,BNB,20.48,3185665329.36,155536713
2019-11-17,Binance Coin,BNB,20.26,3151297090.58,155536713
2019-11-24,Binance Coin,BNB,15.28,2376408888.99,155536713
2019-12-01,Binance Coin,BNB,15.5,2410249227.29,155536713
2019-12-08,Binance Coin,BNB,15.67,2437963812.54,155536713
