Formatted date,Name,Symbol,Price($),Market Cap ($),Circulating Supply
28/04/2013,Bitcoin,BTC,134.21,1488566972,11091325
05/05/2013,Bitcoin,BTC,115.91,1288693216,11118050
12/05/2013,Bitcoin,BTC,115,1281982625,11147675
19/05/2013,Bitcoin,BTC,121.99,1363205020,11174725
26/05/2013,Bitcoin,BTC,133.48,1495292967,11202375
02/06/2013,Bitcoin,BTC,122.29,1373839383,11234075
09/06/2013,Bitcoin,BTC,100,1126642500,11266425
16/06/2013,Bitcoin,BTC,99.51,1124306468,11298425
23/06/2013,Bitcoin,BTC,107.6,1218626732,11325525
30/06/2013,Bitcoin,BTC,96.61,1096957927,11354025
07/07/2013,Bitcoin,BTC,74.56,848838935.6,11384475
14/07/2013,Bitcoin,BTC,94.69,1080918190,11415175
21/07/2013,Bitcoin,BTC,90.76,1038799170,11445900
28/07/2013,Bitcoin,BTC,99.76,1144602625,11474025
04/08/2013,Bitcoin,BTC,105.14,1209792869,11506100
11/08/2013,Bitcoin,BTC,105,1211789250,11540850
18/08/2013,Bitcoin,BTC,113.5,1313544013,11573075
25/08/2013,Bitcoin,BTC,122.11,1417199163,11605825
01/09/2013,Bitcoin,BTC,138.34,1610215304,11639550
08/09/2013,Bitcoin,BTC,121.66,1419836114,11670525
15/09/2013,Bitcoin,BTC,130.37,1526085089,11705800
22/09/2013,Bitcoin,BTC,129.12,1515584679,11737800
29/09/2013,Bitcoin,BTC,137.34,1616584461,11770675
06/10/2013,Bitcoin,BTC,129,1522686975,11803775
13/10/2013,Bitcoin,BTC,138.13,1634968896,11836450
20/10/2013,Bitcoin,BTC,174.61,2073319147,11874000
27/10/2013,Bitcoin,BTC,196.44,2339831246,11911175
03/11/2013,Bitcoin,BTC,215.05,2568713148,11944725
10/11/2013,Bitcoin,BTC,326.62,3910613036,11972975
17/11/2013,Bitcoin,BTC,492.11,5907841888,12005125
24/11/2013,Bitcoin,BTC,774.25,9317034156,12033625
01/12/2013,Bitcoin,BTC,955.85,11531708653,12064350
08/12/2013,Bitcoin,BTC,795.87,9627500054,12096825
15/12/2013,Bitcoin,BTC,876.12,10625517592,12127925
22/12/2013,Bitcoin,BTC,617.18,7505757333,12161375
29/12/2013,Bitcoin,BTC,745.05,9082103472,12189925
05/01/2014,Bitcoin,BTC,933.53,11379661042,12189925
12/01/2014,Bitcoin,BTC,863.22,10578652838,12254875
19/01/2014,Bitcoin,BTC,870.96,10699504356,12284725
26/01/2014,Bitcoin,BTC,885.28,10902798993,12315650
02/02/2014,Bitcoin,BTC,825.37,10190038594,12346025
09/02/2014,Bitcoin,BTC,682.9,8451229252,12375500
16/02/2014,Bitcoin,BTC,616.63,7650358897,12406725
23/02/2014,Bitcoin,BTC,605.82,7534325958,12436575
02/03/2014,Bitcoin,BTC,559.79,6978523798,12466325
09/03/2014,Bitcoin,BTC,636.96,7958688083,12494800
16/03/2014,Bitcoin,BTC,631.11,7903421902,12523050
23/03/2014,Bitcoin,BTC,561.27,7045873880,12553400
30/03/2014,Bitcoin,BTC,460.27,5791425432,12582575
06/04/2014,Bitcoin,BTC,460.5,5808862089,12614275
13/04/2014,Bitcoin,BTC,414.06,5234669425,12642200
20/04/2014,Bitcoin,BTC,498.17,6312898135,12672225
27/04/2014,Bitcoin,BTC,436.39,5542719718,12701300
04/05/2014,Bitcoin,BTC,436.4,5554781871,12728550
11/05/2014,Bitcoin,BTC,438.89,5598957083,12757200
18/05/2014,Bitcoin,BTC,446.26,5706167060,12786525
25/05/2014,Bitcoin,BTC,571.59,7325371161,12815825
01/06/2014,Bitcoin,BTC,630.23,8094127199,12843150
08/06/2014,Bitcoin,BTC,656.14,8445491366,12871475
15/06/2014,Bitcoin,BTC,592.94,7649365738,12900800
22/06/2014,Bitcoin,BTC,602.27,7788611993,12932025
29/06/2014,Bitcoin,BTC,602.72,7813285930,12963475
06/07/2014,Bitcoin,BTC,635.81,8258182479,12988500
13/07/2014,Bitcoin,BTC,626.5,8154263416,13015650
20/07/2014,Bitcoin,BTC,623.9,8137811958,13043450
27/07/2014,Bitcoin,BTC,593.85,7761284409,13069400
03/08/2014,Bitcoin,BTC,586.67,7683526402,13096925
10/08/2014,Bitcoin,BTC,591.06,7757400139,13124525
17/08/2014,Bitcoin,BTC,491.8,6468997837,13153850
24/08/2014,Bitcoin,BTC,508.29,6700956771,13183450
31/08/2014,Bitcoin,BTC,477.76,6312805192,13213250
07/09/2014,Bitcoin,BTC,482.28,6385590811,13240475
14/09/2014,Bitcoin,BTC,477.89,6340774105,13268225
21/09/2014,Bitcoin,BTC,398.82,5303654307,13298325
28/09/2014,Bitcoin,BTC,377.18,5025732219,13324450
05/10/2014,Bitcoin,BTC,320.51,4279043445,13350725
12/10/2014,Bitcoin,BTC,378.55,5063686791,13376575
19/10/2014,Bitcoin,BTC,389.55,5220786278,13402225
26/10/2014,Bitcoin,BTC,354.7,4763038436,13428200
02/11/2014,Bitcoin,BTC,325.89,4385292349,13456275
09/11/2014,Bitcoin,BTC,363.26,4897967439,13483200
16/11/2014,Bitcoin,BTC,387.88,5239697443,13508475
23/11/2014,Bitcoin,BTC,367.57,4974536263,13533475
30/11/2014,Bitcoin,BTC,378.05,5125963515,13559050
07/12/2014,Bitcoin,BTC,375.09,5094941876,13583075
14/12/2014,Bitcoin,BTC,351.63,4785248774,13608675
21/12/2014,Bitcoin,BTC,320.84,4373826072,13632275
28/12/2014,Bitcoin,BTC,317.24,4333395591,13659700
04/01/2015,Bitcoin,BTC,264.2,3616325670,13688075
11/01/2015,Bitcoin,BTC,265.66,3643311966,13714175
18/01/2015,Bitcoin,BTC,210.34,2889852649,13739050
25/01/2015,Bitcoin,BTC,253.72,3491684707,13762075
01/02/2015,Bitcoin,BTC,226.97,3129632210,13788650
08/02/2015,Bitcoin,BTC,223.41,3086540935,13815450
15/02/2015,Bitcoin,BTC,234.83,3250247205,13841125
22/02/2015,Bitcoin,BTC,235.98,3272632781,13868425
01/03/2015,Bitcoin,BTC,260.2,3615184872,13893750
08/03/2015,Bitcoin,BTC,274.35,3818877841,13919525
15/03/2015,Bitcoin,BTC,286.39,3993635126,13944575
22/03/2015,Bitcoin,BTC,267.96,3743197248,13969225
29/03/2015,Bitcoin,BTC,242.71,3397186865,13996725
05/04/2015,Bitcoin,BTC,260.6,3654266205,14022625
12/04/2015,Bitcoin,BTC,236.15,3317123015,14046525
19/04/2015,Bitcoin,BTC,222.6,3132227161,14071100
26/04/2015,Bitcoin,BTC,219.43,3093210382,14096600
03/05/2015,Bitcoin,BTC,240.36,3394163164,14121275
10/05/2015,Bitcoin,BTC,240.3,3399248766,14146075
17/05/2015,Bitcoin,BTC,236.8,3356177230,14172925
24/05/2015,Bitcoin,BTC,240.95,3420840510,14197150
31/05/2015,Bitcoin,BTC,230.19,3273749733,14221975
07/06/2015,Bitcoin,BTC,222.88,3175550845,14247725
14/06/2015,Bitcoin,BTC,233.54,3333660699,14274275
21/06/2015,Bitcoin,BTC,243.94,3488111053,14298800
28/06/2015,Bitcoin,BTC,249.01,3566934171,14324425
05/07/2015,Bitcoin,BTC,271.91,3901991590,14350125
12/07/2015,Bitcoin,BTC,310.87,4469121264,14376300
19/07/2015,Bitcoin,BTC,273.61,3940580866,14401975
26/07/2015,Bitcoin,BTC,292.69,4222885227,14428050
02/08/2015,Bitcoin,BTC,282.61,4084836711,14453750
09/08/2015,Bitcoin,BTC,265.08,3838132010,14478975
16/08/2015,Bitcoin,BTC,258.51,3749498591,14504450
23/08/2015,Bitcoin,BTC,228.17,3315472110,14530750
30/08/2015,Bitcoin,BTC,228.76,3330085560,14557050
06/09/2015,Bitcoin,BTC,239.84,3497753009,14583675
13/09/2015,Bitcoin,BTC,230.51,3367770894,14609975
20/09/2015,Bitcoin,BTC,231.21,3383765028,14634900
27/09/2015,Bitcoin,BTC,232.76,3412462073,14661075
04/10/2015,Bitcoin,BTC,238.26,3499388303,14687325
11/10/2015,Bitcoin,BTC,247.05,3634688806,14712350
18/10/2015,Bitcoin,BTC,261.64,3856059659,14737875
25/10/2015,Bitcoin,BTC,283.68,4188179591,14763750
01/11/2015,Bitcoin,BTC,325.43,4813284494,14790500
